model_name,batch_size,seq_length,image_size,precision,activation_checkpointing,estimation_type,predicted_time,time_for_estimation,actual_time,accuracy
llama_v3_1b,2,8192,-1,HP,True,operator-level-learned-model,513.502267505904,7054.344415664673,525.0587361653646,1.0225051949927908
gemma_2b,8,1024,-1,HP,False,operator-level-learned-model,361.4032255075565,6970.039129257202,356.9922281901042,0.9877948036815181
gemma_2b,8,512,-1,MP,False,operator-level-learned-model,218.91366439779637,7035.397052764893,263.3283386230469,1.202886714940475
gemma_2b,2,2048,-1,MP,False,operator-level-learned-model,226.6827093934065,7051.578044891357,269.9134114583333,1.1907101877360227
gemma_2b,2,2048,-1,FP,True,operator-level-learned-model,1615.3549740874105,7183.243751525879,1640.3769124348958,1.0154900555907975
gemma_2b,4,1024,-1,FP,True,operator-level-learned-model,1579.435643108003,7117.603540420532,1605.0409342447915,1.0162116710791727
gemma_2b,2,4096,-1,HP,True,operator-level-learned-model,426.3643740567984,7218.427658081055,424.0311279296875,0.9945275771873002
gemma_2b,4,2048,-1,HP,True,operator-level-learned-model,409.3339143756625,7336.920738220215,407.841796875,0.9963547669805509
timm_vit,32,-1,224,FP,False,operator-level-learned-model,780.2282103331047,6555.142164230347,795.9373575846354,1.0201340416092157
timm_vit,64,-1,224,HP,False,operator-level-learned-model,186.1887022861826,6715.674877166748,178.5622304280599,0.9590390192075114
timm_vit,64,-1,224,MP,False,operator-level-learned-model,207.77570816628352,6874.243497848511,218.96617635091147,1.053858404735515
timm_vit,64,-1,224,MP,False,operator-level-learned-model,207.77570816628352,6874.243497848511,219.094965616862,1.0544782522965563
timm_vit,64,-1,224,MP,False,operator-level-learned-model,207.77570816628352,6872.904777526856,218.96617635091147,1.053858404735515
timm_vit,64,-1,224,MP,False,operator-level-learned-model,207.77570816628352,6872.904777526856,219.094965616862,1.0544782522965563
timm_vit,64,-1,224,FP,True,operator-level-learned-model,1851.2663607643244,7238.45911026001,1820.543212890625,0.9834042531507919
timm_vit,128,-1,224,HP,True,operator-level-learned-model,451.91307332467846,7221.010208129883,395.1780395507813,0.8744558696731137
timm_vit,256,-1,224,HP,True,operator-level-learned-model,885.1322498283167,7353.140115737915,764.0618693033854,0.8632177501741525
hf_clip,32,20,336,FP,False,operator-level-learned-model,950.1198763571888,7161.458969116211,936.1817626953124,0.98533015253263
hf_clip,32,20,336,FP,False,operator-level-learned-model,950.1198763571888,7161.458969116211,935.3981526692708,0.9845054039450665
hf_clip,32,20,336,FP,False,operator-level-learned-model,950.1198763571888,7230.514049530029,936.1817626953124,0.98533015253263
hf_clip,32,20,336,FP,False,operator-level-learned-model,950.1198763571888,7230.514049530029,935.3981526692708,0.9845054039450665
hf_clip,64,20,336,MP,False,operator-level-learned-model,302.2936767046208,7411.877393722534,297.5563557942708,0.984328746264253
hf_clip,64,20,336,MP,False,operator-level-learned-model,302.2936767046208,7411.877393722534,298.5992024739583,0.9877785262631462
hf_clip,64,20,336,FP,True,operator-level-learned-model,2299.7836377771337,7894.575119018555,2193.2052408854165,0.9536572070776489
hf_clip,64,20,336,HP,True,operator-level-learned-model,328.44845900786964,7947.988033294678,296.5669352213542,0.9029329475838656
hf_clip,128,20,336,HP,True,operator-level-learned-model,628.0661011260318,7976.706981658936,566.3338216145834,0.901710537472455
timm_convnext_v2,16,-1,224,FP,False,operator-level-learned-model,555.7035623219367,2708.146572113037,396.14381917317706,0.7128689575390528
timm_convnext_v2,64,-1,224,HP,False,operator-level-learned-model,191.57687026440485,2659.2159271240234,259.5514424641927,1.354816174342825
timm_convnext_v2,64,-1,224,MP,False,operator-level-learned-model,259.00458934292857,2856.0049533843994,389.70264689127606,1.5046167632778893
timm_convnext_v2,32,-1,224,MP,False,operator-level-learned-model,136.55562863889682,2890.277862548828,213.63928731282556,1.56448540014243
timm_convnext_v2,32,-1,224,FP,True,operator-level-learned-model,1186.4455751595085,3006.3164234161377,832.6167602539062,0.7017740869756856
timm_convnext_v2,256,-1,224,HP,True,operator-level-learned-model,839.6842499219995,3009.31453704834,1099.4342041015625,1.3093424155611968
timm_convnext_v2,128,-1,224,HP,True,operator-level-learned-model,423.03291852084817,3021.025896072388,574.5937703450521,1.3582720048220895
timm_convnext_v2,128,-1,224,FP,True,operator-level-learned-model,4664.225613399047,3019.031286239624,3026.4552408854165,0.6488655334748896
hf_GPT2,16,1024,-1,HP,False,operator-level-learned-model,317.5824742131729,6444.502830505371,344.7075500488281,1.0854111232140848
hf_GPT2,16,512,-1,MP,False,operator-level-learned-model,223.16789399675065,6620.476484298706,274.55299886067706,1.2302531244242265
hf_GPT2,8,1024,-1,MP,False,operator-level-learned-model,229.8699744491712,6673.317909240723,280.3123372395833,1.2194386757613092
hf_GPT2,8,2048,-1,FP,True,operator-level-learned-model,2891.52832274152,7120.05090713501,,
hf_GPT2,16,2048,-1,FP,True,operator-level-learned-model,5686.795101275214,7131.591796875,,
hf_GPT2,2,8192,-1,HP,True,operator-level-learned-model,630.6210735754611,7140.007495880127,,
hf_GPT2,8,4096,-1,HP,True,operator-level-learned-model,977.0020045610672,7192.432165145874,,
